elapsed_s,timestamp,cpu_usage,ram_usage,mode,fps_instant,fps_rolling
96.45,2026-08-03T09:29:38,95.0,76.9,TURBO,3.1,3.9
97.52,2026-08-03T09:29:40,100.0,76.9,TURBO,3.7,4.1
98.78,2026-08-03T09:29:41,100.0,76.9,TURBO,3.1,3.9
99.81,2026-08-03T09:29:42,100.0,76.9,TURBO,5.8,4.1
100.98,2026-08-03T09:29:43,100.0,76.9,TURBO,4.2,4.1
102.14,2026-08-03T09:29:44,100.0,76.9,TURBO,4.5,4.1
103.37,2026-08-03T09:29:45,100.0,76.8,TURBO,5.3,4.1
104.52,2026-08-03T09:29:46,100.0,76.8,TURBO,7.5,4.2
105.77,2026-08-03T09:29:48,99.5,76.8,TURBO,3.2,4.2
106.77,2026-08-03T09:29:49,99.5,76.8,TURBO,6.2,4.3
107.99,2026-08-03T09:29:50,98.0,76.8,TURBO,5.8,4.4
109.10,2026-08-03T09:29:51,98.0,76.8,TURBO,3.8,4.3
110.16,2026-08-03T09:29:52,98.0,76.8,TURBO,3.8,4.3
111.21,2026-08-03T09:29:53,99.5,76.8,TURBO,3.6,4.2
112.49,2026-08-03T09:29:54,99.5,76.8,TURBO,3.7,4.2
113.57,2026-08-03T09:29:55,100.0,76.8,TURBO,7.3,4.1
114.83,2026-08-03T09:29:57,100.0,76.8,TURBO,4.8,4.3
115.95,2026-08-03T09:29:58,100.0,76.8,TURBO,6.9,4.3
117.20,2026-08-03T09:29:59,100.0,76.8,TURBO,5.6,4.3
118.24,2026-08-03T09:30:00,100.0,76.8,TURBO,3.6,4.3
119.51,2026-08-03T09:30:02,100.0,76.8,TURBO,3.6,4.3
